"id";"ss";"seite";"autor_vorname";"autor_nachname";"titel";"verlag";"ort";"jahr";"verlag_2";"ort_2";"jahr_2";"weitere";"volltext";"status"
75288;0;84;"Sarah";"Levy";"Geliebter! O mon Goye!";"Reiss";"Berlin";"1929";;;;;"Levy, Sarah: Geliebter! O mon Goye! Berlin: Reiss 1929.";"parsed"
75287;0;0;"Ernst";"Reinhard";"Abrüstung ... zum neuen Krieg";"Laub";"Berlin";"1927";;;;;"Reinhard, Ernst: Abrüstung ... zum neuen Krieg. Berlin: Laub 1927.";"ok"
75285;0;169;"Georgij";"Zyperowitsch";"Das zukünftige Petrograd";"Kniga";"Berlin";"1922";"Hoym";"Hamburg";"1922";;"Zyperowitsch, Georgij: Das zukünftige Petrograd. Berlin: Kniga 1922. — Hamburg: Hoym 1922.";"parsed"
75284;0;169;"Karl";"Zwing";"Sämtliche Schriften";;;;;;;;"Zwing, Karl: Sämtliche Schriften.";"parsed"
75283;0;169;"Michael";"Zwick";"Vierundzwanzig Stunden";"Eden-Verl.";"Berlin";"1933";;;;;"Zwick, Michael: Vierundzwanzig Stunden. Berlin: Eden-Verl. 1933.";"parsed"
75282;0;169;"Michael";"Zwick";"Die Schrecklosen";"Eden-Verl.";"Berlin";"1934";;;;;"Zwick, Michael: Die Schrecklosen. Berlin: Eden-Verl. 1934.";"parsed"
75281;0;169;"Michael";"Zwick";"Das Phantom im Nebel";"Eden-Verl.";"Berlin";"1933";;;;;"Zwick, Michael: Das Phantom im Nebel. Berlin: Eden-Verl. 1933.";"parsed"
75280;0;169;"Michael";"Zwick";"In den Netzen der Sowjets";"Eden-Verl.";"Berlin";"1933";;;;;"Zwick, Michael: In den Netzen der Sowjets. Berlin: Eden-Verl. 1933.";"parsed"
75277;0;169;"Arnold";"Zweig";"Sämtliche Schriften";;;;;;;;"Zweig, Arnold: Sämtliche Schriften.";"parsed"
75278;0;169;"Stephan";"Zweig";"Sämtliche Schriften";;;;;;;;"Zweig, Stephan: Sämtliche Schriften.";"parsed"
75279;0;169;"Rudolf";"Zwetz";"Die Jungen von 1848";"Dietz";"Berlin";"1926";;;;;"Zwetz, Rudolf: Die Jungen von 1848. Berlin: Dietz 1926.";"parsed"
75276;1;169;"Max";"Zwalf";"Die internationale politische Verschuldung u. die Arbeiterklasse";"Internat. Transportarbeiter-Föderation";"Amsterdam";"1932";;;;;"Zwalf, Max: Die internationale politische Verschuldung u. die Arbeiterklasse. Amsterdam: Internat. Transportarbeiter-Föderation 1932.";"parsed"
75275;0;167;"Paul";"Zimmermann";"Lieder eines Erwachten";"Waltenberg & Graetz";"Berlin";"1920";"Aufbau-Verl.";"Berlin";"1932";;"Zimmermann, Paul: Lieder eines Erwachten. Berlin: Waltenberg & Graetz 1920. — Berlin: Aufbau-Verl. 1932.";"parsed"
75274;0;167;"Paul";"Zimmermann";"Hindenburg 85 Jahre";"Aufbau-Verl.";"Berlin";"1932";;;;;"Zimmermann, Paul: Hindenburg 85 Jahre. Berlin: Aufbau-Verl. 1932.";"parsed"
75273;0;167;"Albert";"Zimmermann";"Wen soll ich heiraten?";"Strecker & Schröder";"Stuttgart";"1918";;;;;"Zimmermann, Albert: Wen soll ich heiraten? Stuttgart: Strecker & Schröder 1918.";"parsed"
75272;0;167;"Gustav Adolf";"Zimmer";"Der kürzeste Weg zur Gesundheit. Die chiropraktische Heilkunst";"Selbstverl.";"Dresden";"1933";;;;;"Zimmer, Gustav Adolf: Der kürzeste Weg zur Gesundheit. Die chiropraktische Heilkunst. Dresden: Selbstverl. 1933.";"parsed"
75271;0;167;"Gustav Adolf";"Zimmer";"Chiropraktik oder Das menschliche Rückgrat als Träger u. Ursache von Gesundheit u. Krankheit";"Selbstverl.";"Dresden";"1934";;;;;"Zimmer, Gustav Adolf: Chiropraktik oder Das menschliche Rückgrat als Träger u. Ursache von Gesundheit u. Krankheit. Dresden: Selbstverl. 1934.";"parsed"
75270;0;167;"Gustav Adolf";"Zimmer";"Chiropraktik";"Selbstverl.";"Dresden";"1935";;;;;"Zimmer, Gustav Adolf: Chiropraktik. Dresden: Selbstverl. 1935.";"parsed"
75269;0;167;"Heinrich";"Zille";"Zilles Vermächtnis";"Franke";"Berlin";"1930";;;;;"Zille, Heinrich. — Zilles Vermächtnis. Berlin: Franke 1930.";"parsed"
75268;0;167;"Heinrich";"Zille";"Für Alle";"Neuer dt. Verl.";"Berlin";"1929";;;;;"Zille, Heinrich: Für Alle. Berlin: Neuer dt. Verl. 1929.";"parsed"
75267;0;167;"Heinz";"Zikel";"Sexualleben der Frauen";"Schweizer";"Pfullingen";"1932";;;;;"Zikel, Heinz: Sexualleben der Frauen. Pfullingen: Schweizer 1932.";"parsed"
75266;0;167;"Heinz";"Zikel";"Hygiene der Ehe und der Flitterwochen";"Schweizer";"Berlin";"1925";"»Gemeinwohl«";"Aachen";"1926";;"Zikel, Heinz: Hygiene der Ehe und der Flitterwochen. Berlin: Schweizer 1925. — Aachen: »Gemeinwohl« 1926.";"parsed"
75265;0;167;;;"Zigeunerkind, Das ~, oder die Geheimnisse eines Fürstenhauses";"Verl. f. Volkslit. u. Kunst";" Berlin";" 1927";;;;;"Zigeunerkind, Das ~, oder die Geheimnisse eines Fürstenhauses. Berlin: Verl. f. Volkslit. u. Kunst 1927.";"parsed"
75264;0;167;;;"Zigeunerinnen-Traumbuch, Vollständiges ~";"Rudolph";" Dresden";" 1929";;;;;"Zigeunerinnen-Traumbuch, Vollständiges ~. Dresden: Rudolph 1929.";"parsed"
75263;0;167;;;"Zigeunerinnen-Traumbuch, Das ~";"Rudolph";" Dresden";" 1929";;;;;"Zigeunerinnen-Traumbuch, Das ~. Dresden: Rudolph 1929.";"parsed"
75262;0;167;"Luise";"Zietz";"Sämtliche Schriften";;;;;;;;"Zietz, Luise: Sämtliche Schriften.";"parsed"
75261;0;167;"Fritz";"Zielesch";"Jugend im Lande der Jugend";"Enoch";"Hamburg";"1925";;;;;"Zielesch, Fritz: Jugend im Lande der Jugend. Hamburg: Enoch 1925.";"parsed"
75260;0;167;"Bernhard";"Ziegler";"Sämtliche Schriften";;;;;;;;"Ziegler, Bernhard: Sämtliche Schriften.";"parsed"
75259;0;167;"August";"Ziegler";"Schwurzeugen des Antisemitismus?";"Abwehrblätter";"Berlin";"1928";;;;;"Ziegler, August: Schwurzeugen des Antisemitismus? Berlin: Abwehrblätter 1928.";"parsed"
75258;0;167;"Haller von";"Ziegesar";"Auf deutschem Vorposten";"Nationaler Bücherdienst";"Berlin";"1937";;;;;"Ziegesar, Haller von: Auf deutschem Vorposten. Berlin: Nationaler Bücherdienst 1937.";"parsed"
75256;0;167;"Julius";"Zeyer";"Florenz im Schnee";"Rikola-Verl.";"Wien";"1922";;;;;"Zeyer, Julius: Florenz im Schnee. Wien: Rikola-Verl. 1922.";"parsed"
75257;0;167;"Arthur";"Zickler";"Im Tollhause";"Singer";"Berlin";"1919";;;;;"Zickler, Arthur: Im Tollhause. Berlin: Singer 1919.";"parsed"
75254;0;167;"Klara";"Zetkin";"Sämtliche Schriften";;;;;;;;"Zetkin, Klara: Sämtliche Schriften.";"parsed"
75255;0;167;;;"Zeugnisse der bekennenden Kirche";"Bekenntnis-Synode";" Bad Oeynhausen";" 1935";;;;;"Zeugnisse der bekennenden Kirche. Bad Oeynhausen: Bekenntnis-Synode 1935.";"parsed"
75253;1;167;;;"Zetkin, Clara ~. Ein Sammelband zum Gedächtnis der grossen Kämpferin";"Verlagsgen. ausländ. Arbeiter";" Moskau";" 1934";;;;;"Zetkin, Clara ~. Ein Sammelband zum Gedächtnis der grossen Kämpferin. Moskau: Verlagsgen. ausländ. Arbeiter 1934.";"parsed"
75252;1;167;;;"Zetkin, Clara ~. Kämpferin für die proletarische Weltrevolution";"Verlagsgen. ausländ. Arbeiter";" Moskau";" 1933";;;;;"Zetkin, Clara ~. Kämpferin für die proletarische Weltrevolution. Moskau: Verlagsgen. ausländ. Arbeiter 1933.";"parsed"
75251;0;167;"Julius";"Zerfass";"Die Reise mit dem Lumpensack";"Dietz";"Berlin";"1925";;;;;"Zerfass, Julius: Die Reise mit dem Lumpensack. Berlin: Dietz 1925.";"parsed"
75250;0;167;"Wally";"Zepler";"Die Frauen und der Krieg";"Baumeister";"Berlin";"1916";;;;;"Zepler, Wally: Die Frauen und der Krieg. Berlin: Baumeister 1916.";"parsed"
75249;0;167;"Ernst Viktor";"Zenker";"Die Gesellschaft";"Reimer";"Berlin";"1899/1903";;;;;"Zenker, Ernst Viktor: Die Gesellschaft. Berlin: Reimer 1899/1903.";"parsed"
75248;0;167;"Kamil";"Zern an";"Sämtliche Schriften";;;;;;;;"Zern an, Kamil: Sämtliche Schriften.";"parsed"
75246;0;165;"Th.";"Yorck";"Die industrielle Arbeiterfrage";"Genossenschaftsbuchdruckerei";"Leipzig";"1876";;;;;"Yorck, Th.: Die industrielle Arbeiterfrage. Leipzig: Genossenschaftsbuchdruckerei 1876.";"parsed"
75247;1;0;"Alfred";"Zellweger";"Notre défense nationale intégrale";"Attinger";"Neuchâtel-Paris";"1938";;;;;"Zellweger, Alfred: Notre défense nationale intégrale. Neuchâtel-Paris: Attinger 1938. ";"ok"
75245;0;165;"Stanislav";"Yester";"»Třeti řiše« nastupuje! [Das »Dritte Reich« tritt an.]";"Verband der tschechoslow. Offiziere";"Prag";"1937";;;;;"Yester, Stanislav: »Třeti řiše« nastupuje! [Das »Dritte Reich« tritt an.]. Prag: Verband der tschechoslow. Offiziere 1937.";"parsed"
75244;0;165;"Thomas Russell";"Ybarra";"Hindenburg. Seine drei Leben";"Wolff";"Berlin";"1932";;;;;"Ybarra, Thomas Russell: Hindenburg. Seine drei Leben. Berlin: Wolff 1932.";"parsed"
75243;0;165;"T. de";"Wyzewa";"Die sozialistische Bewegung in Europa";"Salle";"Braunschweig";"1892";;;;;"Wyzewa, T. de: Die sozialistische Bewegung in Europa. Braunschweig: Salle 1892.";"parsed"
75242;1;165;"Hans von";"Wyl";"Ein Schweizer erlebt Deutschland";"Europa-Verl.";"Zürich";"1938";;;;;"Wyl, Hans von: Ein Schweizer erlebt Deutschland. Zürich: Europa-Verl. 1938.";"parsed"
75241;0;165;"Willi";"Wygodzinski";"Einführung in die Volkswirtschaftslehre";"Quelle & Meyer";"Leipzig";"1918";;;;;"Wygodzinski, Willi: Einführung in die Volkswirtschaftslehre. Leipzig: Quelle & Meyer 1918.";"parsed"
75240;0;165;"Mathilde";"Wurm";"Die Frauen u. der preussische Landtag";"Vorwärts";"Berlin";"1913";;;;;"Wurm, Mathilde: Die Frauen u. der preussische Landtag. Berlin: Vorwärts 1913.";"parsed"
75239;0;165;;;"Wunder, Das ~ der Marne-Schlacht. Wunder oder Verbrechen";"P. Hochmuth";" Berlin";" 1933";;;;;"Wunder, Das ~ der Marne-Schlacht. Wunder oder Verbrechen? Berlin: P. Hochmuth 1933.";"parsed"
